"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jul 25 19:27:27 GMT 2023","Tue Jul 25 19:27:27 GMT 2023","1","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testListViewAddRegexFilterJobNamesContainingNine","testListViewAddRegexFilterJobNamesContainingNine",""
"passed","Tue Jul 25 19:38:04 GMT 2023","Tue Jul 25 19:38:04 GMT 2023","520","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemTypePipelineWithEmptyName","testCreateNewItemTypePipelineWithEmptyName","Check if pipeline job can be created without name"
"skipped","Tue Jul 25 19:27:27 GMT 2023","Tue Jul 25 19:27:27 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testGlobalViewAddFilterBuildQueue","testGlobalViewAddFilterBuildQueue","Verify that 'Filtered Build Queue' is displayed after creating a global view with an option 'Filter build queue'"
"passed","Tue Jul 25 19:29:42 GMT 2023","Tue Jul 25 19:29:44 GMT 2023","2316","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testDeletePipelineFromDashboard","testDeletePipelineFromDashboard","Verify deleted Pipeline name doesn’t exist on a dashboard page if delete Pipeline with a menu button"
"passed","Tue Jul 25 19:36:01 GMT 2023","Tue Jul 25 19:36:03 GMT 2023","1875","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testRenameFolderFromDropDownMenuConfigure","testRenameFolderFromDropDownMenuConfigure","Verify that the name of the folder can be changed through 'Configure' dropdown menu"
"passed","Tue Jul 25 19:32:27 GMT 2023","Tue Jul 25 19:32:30 GMT 2023","2909","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateNewNodeWithExistedNameFromDashboard","testCreateNewNodeWithExistedNameFromDashboard","Create New Node With Existed Name by clicking on 'Build Executor Status' on Dashboard"
"skipped","Tue Jul 25 19:29:07 GMT 2023","Tue Jul 25 19:29:07 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testRenameFreestyleProjectToIncorrectViaSideMenu","testRenameFreestyleProjectToIncorrectViaSideMenu","Verify if error message arrears and contains expected text when attempting to rename an existing project with invalid data"
"passed","Tue Jul 25 19:38:23 GMT 2023","Tue Jul 25 19:38:23 GMT 2023","498","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemWithSpecialCharacterName","testCreateNewItemWithSpecialCharacterName","Verify that creating NewItem with special characters is not possible"
"passed","Tue Jul 25 19:36:49 GMT 2023","Tue Jul 25 19:36:51 GMT 2023","2093","Surefire suite","Surefire test","tests.MultiConfigurationProjectTest","tests.MultiConfigurationProjectTest","testMultiConfigurationProjectRenameProjectViaSideMenu","testMultiConfigurationProjectRenameProjectViaSideMenu","Verify that the 'MultiConfigurationProject' can be renamed in the side menu"
"passed","Tue Jul 25 19:29:49 GMT 2023","Tue Jul 25 19:29:51 GMT 2023","1747","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testPipelineAddDescription","testPipelineAddDescription","Verify the description for Pipeline project on the Pipeline page is displayed if add description"
"passed","Tue Jul 25 19:32:08 GMT 2023","Tue Jul 25 19:32:08 GMT 2023","475","Surefire suite","Surefire test","tests.BuildHistoryTest","tests.BuildHistoryTest","testNumberOfColumnsInProjectStatusTable","testNumberOfColumnsInProjectStatusTable","Verify the number of columns in 'Project Status' table on the 'Build History' page"
"passed","Tue Jul 25 19:37:49 GMT 2023","Tue Jul 25 19:37:50 GMT 2023","504","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateMultibranchPipelineEmptyName","testCreateMultibranchPipelineEmptyName","Check if multibranch pipeline with empty name can be created"
